0.0	0.0	0.0	3.0	3.0	5.692232	0.0
0.0	0.0	0.0	4.0	4.0	5.692232	0.0
0.0	0.0	0.0	5.0	5.0	5.854952	0.0
0.0	0.0	0.0	6.0	6.0	5.854952	0.0
0.0	0.0	0.0	7.0	7.0	5.737035	0.0
0.0	0.0	0.0	8.0	8.0	5.737035	0.0
0.0	0.0	0.0	29.0	29.0	5.88584	0.0
0.0	0.0	0.0	30.0	30.0	5.88584	0.0
0.0	0.0	0.0	31.0	31.0	5.824853	0.0
0.0	0.0	0.0	32.0	32.0	5.824853	0.0
0.0	0.0	0.0	33.0	33.0	5.996433	0.0
0.0	0.0	0.0	34.0	34.0	5.996433	0.0
0.0	0.0	0.0	55.0	55.0	5.964897	0.0
0.0	0.0	0.0	56.0	56.0	5.964897	0.0
0.0	0.0	0.0	57.0	57.0	5.770952	0.0
0.0	0.0	0.0	58.0	58.0	5.770952	0.0
0.0	0.0	0.0	59.0	59.0	5.924071	0.0
0.0	0.0	0.0	60.0	60.0	5.924071	0.0
0.0	0.0	0.0	81.0	81.0	6.006778	0.0
0.0	0.0	0.0	82.0	82.0	6.006778	0.0
0.0	0.0	0.0	83.0	83.0	6.035037	0.0
0.0	0.0	0.0	84.0	84.0	6.035037	0.0
0.0	0.0	0.0	85.0	85.0	5.951332	0.0
0.0	0.0	0.0	86.0	86.0	5.951332	0.0
0.0	0.0	0.0	107.0	107.0	6.028148	0.0
0.0	0.0	0.0	108.0	108.0	6.028148	0.0
0.0	0.0	0.0	109.0	109.0	5.837877	0.0
0.0	0.0	0.0	110.0	110.0	5.837877	0.0
0.0	0.0	0.0	111.0	111.0	5.90267	0.0
0.0	0.0	0.0	112.0	112.0	5.90267	0.0
0.0	0.0	0.0	133.0	133.0	5.922587	0.0
0.0	0.0	0.0	134.0	134.0	5.922587	0.0
0.0	0.0	0.0	135.0	135.0	6.029435	0.0
0.0	0.0	0.0	136.0	136.0	6.029435	0.0
0.0	0.0	0.0	137.0	137.0	5.914379	0.0
