-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.630000000000000000e+02 2.300000000000000000e+01 -9.930999999999999550e-02 5.800000000000000034e-05
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.640000000000000000e+02 2.400000000000000000e+01 -9.930999999999999550e-02 5.800000000000000034e-05
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.630000000000000000e+02 2.700000000000000000e+01 -1.997849999999999904e-01 -1.905799999999999855e-02
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.640000000000000000e+02 2.800000000000000000e+01 -1.997849999999999904e-01 -1.905799999999999855e-02
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+02 3.500000000000000000e+01 3.465929999999999844e-01 -1.363000000000000062e-03
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.760000000000000000e+02 3.600000000000000000e+01 3.465929999999999844e-01 -1.363000000000000062e-03
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+02 3.900000000000000000e+01 -2.108089999999999964e-01 -8.637999999999999845e-03
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.760000000000000000e+02 4.000000000000000000e+01 -2.108089999999999964e-01 -8.637999999999999845e-03
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.870000000000000000e+02 4.700000000000000000e+01 4.112600000000000283e-02 1.203599999999999982e-02
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.880000000000000000e+02 4.800000000000000000e+01 4.112600000000000283e-02 1.203599999999999982e-02
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.870000000000000000e+02 5.100000000000000000e+01 -2.716419999999999946e-01 -9.952000000000000776e-03
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.880000000000000000e+02 5.200000000000000000e+01 -2.716419999999999946e-01 -9.952000000000000776e-03
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.990000000000000000e+02 5.900000000000000000e+01 -1.386650000000000105e-01 -2.280000000000000126e-04
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+02 6.000000000000000000e+01 -1.386650000000000105e-01 -2.280000000000000126e-04
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.990000000000000000e+02 6.300000000000000000e+01 3.562540000000000151e-01 -1.692700000000000107e-02
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+02 6.400000000000000000e+01 3.562540000000000151e-01 -1.692700000000000107e-02
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.170000000000000000e+02 2.900000000000000000e+01 3.394409999999999927e-01 -5.000000000000000104e-04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.180000000000000000e+02 3.000000000000000000e+01 3.394409999999999927e-01 -5.000000000000000104e-04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.170000000000000000e+02 3.100000000000000000e+01 6.741600000000000370e-02 -1.801699999999999829e-02
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.180000000000000000e+02 3.200000000000000000e+01 6.741600000000000370e-02 -1.801699999999999829e-02
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.230000000000000000e+02 3.500000000000000000e+01 3.179420000000000024e-01 6.679999999999999740e-04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.240000000000000000e+02 3.600000000000000000e+01 3.179420000000000024e-01 6.679999999999999740e-04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.230000000000000000e+02 3.700000000000000000e+01 3.352700000000000125e-02 8.179999999999999771e-03
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.240000000000000000e+02 3.800000000000000000e+01 3.352700000000000125e-02 8.179999999999999771e-03
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.410000000000000000e+02 5.300000000000000000e+01 -2.615029999999999855e-01 -3.566000000000000159e-03
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.420000000000000000e+02 5.400000000000000000e+01 -2.615029999999999855e-01 -3.566000000000000159e-03
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.410000000000000000e+02 5.500000000000000000e+01 4.328060000000000240e-01 3.110000000000000243e-04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.420000000000000000e+02 5.600000000000000000e+01 4.328060000000000240e-01 3.110000000000000243e-04
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.470000000000000000e+02 5.900000000000000000e+01 5.259300000000000086e-02 1.835999999999999958e-03
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.480000000000000000e+02 6.000000000000000000e+01 5.259300000000000086e-02 1.835999999999999958e-03
