178 Br:p 1 2 1 x Y dn
179 Br:p 2 2 1 x Z up
180 Br:p 2 2 1 x Z dn
181 Br:p 2 2 1 x X up
182 Br:p 2 2 1 x X dn
183 Br:p 2 2 1 x Y up
184 Br:p 2 2 1 x Y dn
185 Br:p 1 1 2 x Z up
186 Br:p 1 1 2 x Z dn
187 Br:p 1 1 2 x X up
188 Br:p 1 1 2 x X dn
189 Br:p 1 1 2 x Y up
190 Br:p 1 1 2 x Y dn
191 Br:p 2 1 2 x Z up
192 Br:p 2 1 2 x Z dn
193 Br:p 2 1 2 x X up
194 Br:p 2 1 2 x X dn
195 Br:p 2 1 2 x Y up
196 Br:p 2 1 2 x Y dn
197 Br:p 1 2 2 x Z up
198 Br:p 1 2 2 x Z dn
199 Br:p 1 2 2 x X up
200 Br:p 1 2 2 x X dn
201 Br:p 1 2 2 x Y up
202 Br:p 1 2 2 x Y dn
203 Br:p 2 2 2 x Z up
204 Br:p 2 2 2 x Z dn
205 Br:p 2 2 2 x X up
206 Br:p 2 2 2 x X dn
207 Br:p 2 2 2 x Y up
208 Br:p 2 2 2 x Y dn
