185 Pb:p 2 2 2 X up
186 Pb:p 2 2 2 X dn
187 Pb:p 2 2 2 Y up
188 Pb:p 2 2 2 Y dn
189 Pb:p 2 2 2 Z up
190 Pb:p 2 2 2 Z dn
191 I:p 2 2 2 x X up
192 I:p 2 2 2 x X dn
193 I:p 2 2 2 x Y up
194 I:p 2 2 2 x Y dn
195 I:p 2 2 2 x Z up
196 I:p 2 2 2 x Z dn
197 I:p 2 2 2 y X up
198 I:p 2 2 2 y X dn
199 I:p 2 2 2 y Y up
200 I:p 2 2 2 y Y dn
201 I:p 2 2 2 y Z up
202 I:p 2 2 2 y Z dn
203 I:p 2 2 2 z X up
204 I:p 2 2 2 z X dn
205 I:p 2 2 2 z Y up
206 I:p 2 2 2 z Y dn
207 I:p 2 2 2 z Z up
208 I:p 2 2 2 z Z dn
