1 Pb 1 1 1
2 I1 1 1 1
3 I2 1 1 1
4 I3 1 1 1
5 H_N1 1 1 1
6 H_N2 1 1 1
7 H_N3 1 1 1
8 N 1 1 1
9 C 1 1 1
10 H_C1 1 1 1
11 H_C2 1 1 1
12 H_C3 1 1 1
13 Pb 1 1 2
14 I1 1 1 2
15 I2 1 1 2
16 I3 1 1 2
17 H_N1 1 1 2
18 H_N2 1 1 2
19 H_N3 1 1 2
20 N 1 1 2
21 C 1 1 2
22 H_C1 1 1 2
23 H_C2 1 1 2
24 H_C3 1 1 2
25 Pb 1 2 1
26 I1 1 2 1
27 I2 1 2 1
28 I3 1 2 1
29 H_N1 1 2 1
30 H_N2 1 2 1
31 H_N3 1 2 1
32 N 1 2 1
33 C 1 2 1
34 H_C1 1 2 1
35 H_C2 1 2 1
36 H_C3 1 2 1
37 Pb 1 2 2
38 I1 1 2 2
39 I2 1 2 2
40 I3 1 2 2
41 H_N1 1 2 2
42 H_N2 1 2 2
43 H_N3 1 2 2
44 N 1 2 2
45 C 1 2 2
46 H_C1 1 2 2
47 H_C2 1 2 2
48 H_C3 1 2 2
49 Pb 2 1 1
50 I1 2 1 1
51 I2 2 1 1
52 I3 2 1 1
53 H_N1 2 1 1
54 H_N2 2 1 1
55 H_N3 2 1 1
56 N 2 1 1
57 C 2 1 1
58 H_C1 2 1 1
59 H_C2 2 1 1
60 H_C3 2 1 1
61 Pb 2 1 2
62 I1 2 1 2
63 I2 2 1 2
64 I3 2 1 2
65 H_N1 2 1 2
66 H_N2 2 1 2
67 H_N3 2 1 2
68 N 2 1 2
69 C 2 1 2
70 H_C1 2 1 2
71 H_C2 2 1 2
72 H_C3 2 1 2
73 Pb 2 2 1
74 I1 2 2 1
75 I2 2 2 1
76 I3 2 2 1
77 H_N1 2 2 1
78 H_N2 2 2 1
79 H_N3 2 2 1
80 N 2 2 1
81 C 2 2 1
82 H_C1 2 2 1
83 H_C2 2 2 1
84 H_C3 2 2 1
85 Pb 2 2 2
86 I1 2 2 2
87 I2 2 2 2
88 I3 2 2 2
89 H_N1 2 2 2
90 H_N2 2 2 2
91 H_N3 2 2 2
92 N 2 2 2
93 C 2 2 2
94 H_C1 2 2 2
95 H_C2 2 2 2
96 H_C3 2 2 2
