1.528186999999999962e+00 1.480112494052538530e+00
1.128651000000000071e+00 1.109964060080450787e+00
6.298010000000000552e-01 6.190274591481262911e-01
1.265384999999999982e+00 1.258414090396442697e+00
6.454569999999999474e-01 7.439735444903105011e-01
1.574980000000000047e+00 1.529977450316130749e+00
9.908460000000000045e-01 9.742161309465469099e-01
1.105415000000000036e+00 1.079727768950052846e+00
1.322052000000000005e+00 1.332783121575934926e+00
9.384500000000000064e-01 9.081083458861964886e-01
6.888969999999999816e-01 6.665825874243086480e-01
1.228110999999999953e+00 1.239525001374234714e+00
5.734310000000000240e-01 5.761686595118228338e-01
1.219224000000000085e+00 1.217551608481787673e+00
1.131226999999999983e+00 1.142549802999173414e+00
9.906639999999999890e-01 1.001549095058198224e+00
1.005112000000000005e+00 1.000067129607500327e+00
9.010930000000000328e-01 8.706156216598710529e-01
9.762880000000000447e-01 9.920194425694985885e-01
9.441420000000000368e-01 9.127976539023656688e-01
8.925570000000000448e-01 9.769314227718851606e-01
1.077053000000000038e+00 1.069323414648103654e+00
7.754680000000000462e-01 7.402022609871509173e-01
1.379807000000000006e+00 1.434388707300305654e+00
1.327013999999999916e+00 1.383029062717584301e+00
8.869850000000000234e-01 9.122254905226192534e-01
9.395369999999999555e-01 9.197716903716540715e-01
9.321329999999999893e-01 9.269745265438075199e-01
1.159524999999999917e+00 1.144908024626994925e+00
9.474310000000000231e-01 9.269432417804526203e-01
1.021443000000000101e+00 1.069025379466603587e+00
8.362739999999999618e-01 8.822725000478035540e-01
1.058097000000000065e+00 1.029650963908437022e+00
1.148916999999999966e+00 1.135806973424352329e+00
9.962739999999999929e-01 9.923169789993939727e-01
1.121585999999999972e+00 1.084174215474899006e+00
6.892610000000000126e-01 8.773552982231869191e-01
8.128349999999999742e-01 8.068571664587247394e-01
9.565620000000000234e-01 9.281622372005415844e-01
9.524369999999999781e-01 9.231445073860413686e-01
1.332460999999999895e+00 1.366662486417792088e+00
1.014180999999999999e+00 9.843757696652767342e-01
1.045833000000000013e+00 1.018750902577673756e+00
6.541230000000000100e-01 6.693266485939085575e-01
8.579609999999999737e-01 8.208635903606783524e-01
9.334620000000000140e-01 8.927273744218304774e-01
1.043048999999999893e+00 1.026199049765227578e+00
6.485370000000000301e-01 6.301109224501726391e-01
