7.645600000000000174e-01 7.956679999666875780e-01
1.306982000000000088e+00 1.315155443013233949e+00
1.354314000000000018e+00 1.194602335754888056e+00
1.064551999999999943e+00 1.133836874881726242e+00
8.356449999999999712e-01 1.092954769036313944e+00
9.607879999999999754e-01 9.114505392340626067e-01
1.078651000000000026e+00 1.159359078006248822e+00
1.368201000000000001e+00 1.249785628990935926e+00
1.155731000000000064e+00 1.195370077197732250e+00
1.019246000000000096e+00 9.604539122205650870e-01
1.007813999999999988e+00 9.728612119701476324e-01
1.262812000000000046e+00 1.211571556656691584e+00
1.102994999999999948e+00 1.089374760738739401e+00
1.391651999999999889e+00 1.350296408432345885e+00
1.131348000000000020e+00 1.168312820027944010e+00
8.987340000000000328e-01 1.028127980414179188e+00
1.054226000000000107e+00 1.045493073085922653e+00
1.004042000000000101e+00 9.952057978090098622e-01
1.362087999999999965e+00 1.291088136087441551e+00
1.043298000000000059e+00 9.635165847984588083e-01
8.120939999999999825e-01 7.590484390604728127e-01
1.121261999999999981e+00 1.220829111350343776e+00
1.190047999999999995e+00 1.153141625206248300e+00
1.224866999999999928e+00 1.258445836059664646e+00
