166 Pb:p 3 2 1 Z dn
167 Pb:p 3 2 1 X up
168 Pb:p 3 2 1 X dn
169 Pb:p 3 2 1 Y up
170 Pb:p 3 2 1 Y dn
171 Pb:p 4 2 1 Z up
172 Pb:p 4 2 1 Z dn
173 Pb:p 4 2 1 X up
174 Pb:p 4 2 1 X dn
175 Pb:p 4 2 1 Y up
176 Pb:p 4 2 1 Y dn
177 Pb:p 1 3 1 Z up
178 Pb:p 1 3 1 Z dn
179 Pb:p 1 3 1 X up
180 Pb:p 1 3 1 X dn
181 Pb:p 1 3 1 Y up
182 Pb:p 1 3 1 Y dn
183 Pb:p 2 3 1 Z up
184 Pb:p 2 3 1 Z dn
185 Pb:p 2 3 1 X up
186 Pb:p 2 3 1 X dn
187 Pb:p 2 3 1 Y up
188 Pb:p 2 3 1 Y dn
189 Pb:p 3 3 1 Z up
190 Pb:p 3 3 1 Z dn
191 Pb:p 3 3 1 X up
192 Pb:p 3 3 1 X dn
193 Pb:p 3 3 1 Y up
194 Pb:p 3 3 1 Y dn
195 Pb:p 4 3 1 Z up
196 Pb:p 4 3 1 Z dn
197 Pb:p 4 3 1 X up
198 Pb:p 4 3 1 X dn
199 Pb:p 4 3 1 Y up
200 Pb:p 4 3 1 Y dn
201 Pb:p 1 4 1 Z up
202 Pb:p 1 4 1 Z dn
203 Pb:p 1 4 1 X up
204 Pb:p 1 4 1 X dn
205 Pb:p 1 4 1 Y up
206 Pb:p 1 4 1 Y dn
207 Pb:p 2 4 1 Z up
208 Pb:p 2 4 1 Z dn
209 Pb:p 2 4 1 X up
210 Pb:p 2 4 1 X dn
211 Pb:p 2 4 1 Y up
212 Pb:p 2 4 1 Y dn
213 Pb:p 3 4 1 Z up
214 Pb:p 3 4 1 Z dn
215 Pb:p 3 4 1 X up
216 Pb:p 3 4 1 X dn
217 Pb:p 3 4 1 Y up
218 Pb:p 3 4 1 Y dn
219 Pb:p 4 4 1 Z up
220 Pb:p 4 4 1 Z dn
221 Pb:p 4 4 1 X up
222 Pb:p 4 4 1 X dn
223 Pb:p 4 4 1 Y up
224 Pb:p 4 4 1 Y dn
225 Pb:p 1 1 2 Z up
226 Pb:p 1 1 2 Z dn
227 Pb:p 1 1 2 X up
228 Pb:p 1 1 2 X dn
229 Pb:p 1 1 2 Y up
230 Pb:p 1 1 2 Y dn
231 Pb:p 2 1 2 Z up
232 Pb:p 2 1 2 Z dn
233 Pb:p 2 1 2 X up
234 Pb:p 2 1 2 X dn
235 Pb:p 2 1 2 Y up
236 Pb:p 2 1 2 Y dn
237 Pb:p 3 1 2 Z up
238 Pb:p 3 1 2 Z dn
239 Pb:p 3 1 2 X up
240 Pb:p 3 1 2 X dn
241 Pb:p 3 1 2 Y up
242 Pb:p 3 1 2 Y dn
243 Pb:p 4 1 2 Z up
244 Pb:p 4 1 2 Z dn
245 Pb:p 4 1 2 X up
246 Pb:p 4 1 2 X dn
247 Pb:p 4 1 2 Y up
248 Pb:p 4 1 2 Y dn
249 Pb:p 1 2 2 Z up
250 Pb:p 1 2 2 Z dn
251 Pb:p 1 2 2 X up
252 Pb:p 1 2 2 X dn
253 Pb:p 1 2 2 Y up
254 Pb:p 1 2 2 Y dn
255 Pb:p 2 2 2 Z up
256 Pb:p 2 2 2 Z dn
257 Pb:p 2 2 2 X up
258 Pb:p 2 2 2 X dn
259 Pb:p 2 2 2 Y up
260 Pb:p 2 2 2 Y dn
261 Pb:p 3 2 2 Z up
262 Pb:p 3 2 2 Z dn
263 Pb:p 3 2 2 X up
264 Pb:p 3 2 2 X dn
265 Pb:p 3 2 2 Y up
266 Pb:p 3 2 2 Y dn
267 Pb:p 4 2 2 Z up
