1 Cs 1 1 1
2 Cs 2 1 1
3 Cs 3 1 1
4 Cs 4 1 1
5 Cs 1 2 1
6 Cs 2 2 1
7 Cs 3 2 1
8 Cs 4 2 1
9 Cs 1 3 1
10 Cs 2 3 1
11 Cs 3 3 1
12 Cs 4 3 1
13 Cs 1 4 1
14 Cs 2 4 1
15 Cs 3 4 1
16 Cs 4 4 1
17 Cs 1 1 2
18 Cs 2 1 2
19 Cs 3 1 2
20 Cs 4 1 2
21 Cs 1 2 2
22 Cs 2 2 2
23 Cs 3 2 2
24 Cs 4 2 2
25 Cs 1 3 2
26 Cs 2 3 2
27 Cs 3 3 2
28 Cs 4 3 2
29 Cs 1 4 2
30 Cs 2 4 2
31 Cs 3 4 2
32 Cs 4 4 2
33 Cs 1 1 3
34 Cs 2 1 3
35 Cs 3 1 3
36 Cs 4 1 3
37 Cs 1 2 3
38 Cs 2 2 3
39 Cs 3 2 3
40 Cs 4 2 3
41 Cs 1 3 3
42 Cs 2 3 3
43 Cs 3 3 3
44 Cs 4 3 3
45 Cs 1 4 3
46 Cs 2 4 3
47 Cs 3 4 3
48 Cs 4 4 3
49 Cs 1 1 4
50 Cs 2 1 4
51 Cs 3 1 4
52 Cs 4 1 4
53 Cs 1 2 4
54 Cs 2 2 4
55 Cs 3 2 4
56 Cs 4 2 4
57 Cs 1 3 4
58 Cs 2 3 4
59 Cs 3 3 4
60 Cs 4 3 4
61 Cs 1 4 4
62 Cs 2 4 4
63 Cs 3 4 4
64 Cs 4 4 4
65 Pb 1 1 1
66 Pb 2 1 1
67 Pb 3 1 1
68 Pb 4 1 1
69 Pb 1 2 1
70 Pb 2 2 1
71 Pb 3 2 1
72 Pb 4 2 1
73 Pb 1 3 1
74 Pb 2 3 1
75 Pb 3 3 1
76 Pb 4 3 1
77 Pb 1 4 1
78 Pb 2 4 1
79 Pb 3 4 1
80 Pb 4 4 1
81 Pb 1 1 2
82 Pb 2 1 2
83 Pb 3 1 2
84 Pb 4 1 2
85 Pb 1 2 2
86 Pb 2 2 2
87 Pb 3 2 2
88 Pb 4 2 2
89 Pb 1 3 2
90 Pb 2 3 2
91 Pb 3 3 2
92 Pb 4 3 2
93 Pb 1 4 2
94 Pb 2 4 2
95 Pb 3 4 2
96 Pb 4 4 2
97 Pb 1 1 3
98 Pb 2 1 3
99 Pb 3 1 3
100 Pb 4 1 3
101 Pb 1 2 3
102 Pb 2 2 3
103 Pb 3 2 3
104 Pb 4 2 3
105 Pb 1 3 3
106 Pb 2 3 3
107 Pb 3 3 3
108 Pb 4 3 3
109 Pb 1 4 3
110 Pb 2 4 3
111 Pb 3 4 3
112 Pb 4 4 3
113 Pb 1 1 4
114 Pb 2 1 4
115 Pb 3 1 4
116 Pb 4 1 4
117 Pb 1 2 4
118 Pb 2 2 4
119 Pb 3 2 4
120 Pb 4 2 4
121 Pb 1 3 4
122 Pb 2 3 4
123 Pb 3 3 4
124 Pb 4 3 4
125 Pb 1 4 4
126 Pb 2 4 4
127 Pb 3 4 4
128 Pb 4 4 4
129 Br1 1 1 1
130 Br1 2 1 1
131 Br1 3 1 1
132 Br1 4 1 1
133 Br1 1 2 1
134 Br1 2 2 1
135 Br1 3 2 1
136 Br1 4 2 1
137 Br1 1 3 1
138 Br1 2 3 1
139 Br1 3 3 1
140 Br1 4 3 1
141 Br1 1 4 1
142 Br1 2 4 1
143 Br1 3 4 1
144 Br1 4 4 1
145 Br1 1 1 2
146 Br1 2 1 2
147 Br1 3 1 2
148 Br1 4 1 2
149 Br1 1 2 2
150 Br1 2 2 2
151 Br1 3 2 2
152 Br1 4 2 2
153 Br1 1 3 2
154 Br1 2 3 2
155 Br1 3 3 2
156 Br1 4 3 2
157 Br1 1 4 2
158 Br1 2 4 2
159 Br1 3 4 2
160 Br1 4 4 2
161 Br1 1 1 3
162 Br1 2 1 3
163 Br1 3 1 3
164 Br1 4 1 3
165 Br1 1 2 3
166 Br1 2 2 3
167 Br1 3 2 3
168 Br1 4 2 3
169 Br1 1 3 3
170 Br1 2 3 3
171 Br1 3 3 3
172 Br1 4 3 3
173 Br1 1 4 3
