(6.58877e-21,3.03101e-10)
(-6.8365e-15,6.8365e-15)
(0,0)
(0,-7.07803e-10)
(0,0)
(0,0)
(0,0)
(0,3.01295e-10)
(0,0)
(7.07803e-10,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-3.01295e-10,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(2.59993e-06,4.50419e-09)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-1.10674e-06,-1.96545e-09)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0.999955,0.00848492)
(0,0)
(0,0)
(7.09438e-06,-0.000881901)
(0,0)
(0.000881901,7.09438e-06)
(-3.22286e-07,-1.98389e-09)
(0,0)
(0,0)
(0,1.10398e-09)
(0,0)
(-2.14375e-10,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-1.24724e-07,-7.72238e-10)
(0,0)
(0,0)
(0,6.50387e-10)
(0,0)
(-8.24461e-11,0)
(-3.22286e-07,-1.98389e-09)
(0,0)
(0,0)
(0,2.14375e-10)
(0,0)
(-1.10398e-09,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-1.24724e-07,-7.72238e-10)
(0,0)
(0,0)
(0,8.24461e-11)
(0,0)
(-6.50387e-10,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
